Local Date,Local Time,Close,Low,High,Volume
06-Jun-2022,19:34:00,145.8800,145.7300,145.8900,"100,493"
06-Jun-2022,19:35:00,145.8700,145.7988,145.9500,"111,404"
06-Jun-2022,19:36:00,145.9452,145.8228,145.9700,"97,780"
06-Jun-2022,19:37:00,145.8799,145.8200,145.9425,"79,369"
06-Jun-2022,19:38:00,145.6986,145.6700,145.8700,"117,582"
06-Jun-2022,19:39:00,145.5998,145.5400,145.8451,"201,403"
06-Jun-2022,19:40:00,145.6200,145.5100,145.6450,"167,952"
06-Jun-2022,19:41:00,145.5761,145.5500,145.7034,"143,250"
06-Jun-2022,19:42:00,145.5500,145.5200,145.5971,"134,974"
06-Jun-2022,19:43:00,145.5780,145.4850,145.5800,"209,993"
06-Jun-2022,19:44:00,145.6501,145.4400,145.6797,"172,656"
06-Jun-2022,19:45:00,145.6600,145.5765,145.7200,"164,451"
06-Jun-2022,19:46:00,145.6200,145.5500,145.6800,"121,646"
06-Jun-2022,19:47:00,145.6886,145.5600,145.7100,"160,739"
06-Jun-2022,19:48:00,145.6500,145.6000,145.7400,"209,430"
06-Jun-2022,19:49:00,145.4801,145.4600,145.6800,"186,470"
06-Jun-2022,19:50:00,145.3861,145.3700,145.5800,"196,605"
06-Jun-2022,19:51:00,145.2409,145.1200,145.4100,"456,953"
06-Jun-2022,19:52:00,145.1700,145.0600,145.4321,"264,459"
06-Jun-2022,19:53:00,145.2300,145.1474,145.2700,"132,996"
06-Jun-2022,19:54:00,145.3349,145.2200,145.3800,"160,351"
06-Jun-2022,19:55:00,145.4147,145.2110,145.4650,"207,594"
06-Jun-2022,19:56:00,145.3700,145.2367,145.4116,"95,804"
06-Jun-2022,19:57:00,145.4879,145.2756,145.5899,"197,848"
06-Jun-2022,19:58:00,145.4650,145.4200,145.5100,"108,591"
06-Jun-2022,19:59:00,145.4577,145.4033,145.5900,"123,977"
06-Jun-2022,20:00:00,145.3999,145.3800,145.4900,"117,679"
06-Jun-2022,20:01:00,145.4500,145.3100,145.4700,"187,495"
06-Jun-2022,20:02:00,145.5600,145.3650,145.5750,"148,873"
06-Jun-2022,20:03:00,145.7450,145.4478,145.7500,"191,976"
06-Jun-2022,20:04:00,145.6568,145.4987,145.7500,"166,609"
06-Jun-2022,20:05:00,145.5100,145.5000,145.6773,"127,860"
06-Jun-2022,20:06:00,145.5900,145.4700,145.6200,"113,538"
06-Jun-2022,20:07:00,145.4500,145.4100,145.6200,"122,487"
06-Jun-2022,20:08:00,145.4717,145.2900,145.5685,"168,514"
06-Jun-2022,20:09:00,145.4800,145.3400,145.5050,"156,318"
06-Jun-2022,20:10:00,145.4403,145.3900,145.5500,"150,704"
06-Jun-2022,20:11:00,145.4399,145.3500,145.4700,"129,690"
06-Jun-2022,20:12:00,145.4100,145.3400,145.4500,"100,940"
06-Jun-2022,20:13:00,145.3345,145.3200,145.4700,"83,419"
06-Jun-2022,20:14:00,145.4462,145.2600,145.4698,"146,531"
06-Jun-2022,20:15:00,145.4500,145.3558,145.5900,"530,837"
06-Jun-2022,20:16:00,145.4900,145.3900,145.4900,"81,670"
06-Jun-2022,20:17:00,145.5980,145.4270,145.6400,"118,292"
06-Jun-2022,20:18:00,145.5200,145.5039,145.6200,"85,869"
06-Jun-2022,20:19:00,145.4164,145.4050,145.5500,"76,918"
06-Jun-2022,20:20:00,145.1699,145.1600,145.5066,"192,636"
06-Jun-2022,20:21:00,144.9001,144.9000,145.4233,"545,533"
06-Jun-2022,20:22:00,145.2500,144.9000,145.2694,"258,106"
06-Jun-2022,20:23:00,145.2850,145.1282,145.3500,"162,114"
06-Jun-2022,20:24:00,145.2900,145.2200,145.3500,"123,558"
06-Jun-2022,20:25:00,145.3000,145.1254,145.3600,"158,141"
06-Jun-2022,20:26:00,145.3300,145.1949,145.3700,"123,980"
06-Jun-2022,20:27:00,145.2990,145.2720,145.3900,"137,200"
06-Jun-2022,20:28:00,145.3900,145.2500,145.4000,"121,333"
06-Jun-2022,20:29:00,145.3300,145.2800,145.4300,"118,000"
06-Jun-2022,20:30:00,145.3495,145.3000,145.3900,"92,465"
06-Jun-2022,20:31:00,145.3400,145.2700,145.3500,"136,026"
06-Jun-2022,20:32:00,145.5650,145.3263,145.6000,"238,105"
06-Jun-2022,20:33:00,145.5400,145.4086,145.6450,"131,018"
06-Jun-2022,20:34:00,145.5850,145.4700,145.6100,"134,097"
06-Jun-2022,20:35:00,145.5250,145.5100,145.6100,"108,295"
06-Jun-2022,20:36:00,145.5464,145.4100,145.5600,"114,084"
06-Jun-2022,20:37:00,145.4488,145.3800,145.5494,"101,897"
06-Jun-2022,20:38:00,145.3000,145.2700,145.4785,"190,027"
06-Jun-2022,20:39:00,145.5050,145.2400,145.5100,"173,903"
06-Jun-2022,20:40:00,145.4700,145.4500,145.5685,"113,918"
06-Jun-2022,20:41:00,145.5894,145.3600,145.6000,"159,425"
06-Jun-2022,20:42:00,145.8400,145.4125,145.8600,"283,391"
06-Jun-2022,20:43:00,145.9650,145.8200,146.0900,"377,566"
06-Jun-2022,20:44:00,145.8089,145.6643,145.9700,"180,450"
06-Jun-2022,20:45:00,145.8855,145.7650,145.8987,"89,029"
06-Jun-2022,20:46:00,145.8188,145.8000,145.9800,"161,693"
06-Jun-2022,20:47:00,145.6583,145.6206,145.8931,"175,802"
06-Jun-2022,20:48:00,145.6200,145.5300,145.8337,"166,144"
06-Jun-2022,20:49:00,145.6500,145.5800,145.7100,"138,806"
06-Jun-2022,20:50:00,145.7300,145.6300,145.8500,"190,535"
06-Jun-2022,20:51:00,145.8900,145.7069,146.1150,"377,018"
06-Jun-2022,20:52:00,145.9699,145.7400,146.0000,"182,611"
06-Jun-2022,20:53:00,145.9600,145.7900,146.0000,"189,191"
06-Jun-2022,20:54:00,145.9457,145.8962,146.1000,"231,533"
06-Jun-2022,20:55:00,146.1550,145.9000,146.2600,"287,690"
06-Jun-2022,20:56:00,146.2600,145.9751,146.3800,"385,270"
06-Jun-2022,20:57:00,146.3050,146.1141,146.3500,"306,660"
06-Jun-2022,20:58:00,146.1400,146.1200,146.3300,"333,291"
06-Jun-2022,20:59:00,146.1500,146.0800,146.1800,"358,166"
06-Jun-2022,21:00:00,146.1400,146.0900,146.4700,"1,364,771"
07-Jun-2022,14:31:00,144.8640,144.2100,144.8640,"1,167,034"
07-Jun-2022,14:32:00,144.4200,144.3700,144.8600,"329,860"
07-Jun-2022,14:33:00,144.8800,144.0950,144.8900,"512,083"
07-Jun-2022,14:34:00,145.2008,144.6800,145.6500,"604,574"
07-Jun-2022,14:35:00,145.5400,144.3900,145.6800,"371,736"
07-Jun-2022,14:36:00,145.6350,144.3900,145.7400,"373,810"
07-Jun-2022,14:37:00,145.4400,145.3500,145.6618,"268,686"
07-Jun-2022,14:38:00,145.8100,145.4100,145.9200,"377,431"
07-Jun-2022,14:39:00,145.8700,145.6000,145.9900,"340,854"
07-Jun-2022,14:40:00,145.7400,145.5800,145.9000,"339,815"
07-Jun-2022,14:41:00,146.0700,145.6000,146.0900,"433,226"
07-Jun-2022,14:42:00,146.0200,145.8900,146.2000,"410,792"
07-Jun-2022,14:43:00,145.8800,145.8400,146.1000,"270,520"
07-Jun-2022,14:44:00,145.8700,145.8300,146.0200,"230,655"
07-Jun-2022,14:45:00,145.9912,145.8512,146.1100,"308,974"
07-Jun-2022,14:46:00,146.0800,145.7600,146.0800,"319,001"
07-Jun-2022,14:47:00,146.0950,145.8950,146.1250,"279,672"
07-Jun-2022,14:48:00,146.2350,145.9300,146.3500,"359,683"
07-Jun-2022,14:49:00,146.2500,146.1300,146.3200,"294,327"
07-Jun-2022,14:50:00,146.4700,146.2400,146.4700,"307,106"
07-Jun-2022,14:51:00,146.5767,146.4300,146.6800,"407,606"
07-Jun-2022,14:52:00,146.8901,146.5700,147.1000,"589,216"
07-Jun-2022,14:53:00,146.8195,146.7600,146.9899,"281,964"
07-Jun-2022,14:54:00,146.5294,146.5100,146.8565,"287,115"
07-Jun-2022,14:55:00,146.5988,146.4500,146.7000,"264,206"
07-Jun-2022,14:56:00,146.7250,146.5702,146.7800,"234,528"
07-Jun-2022,14:57:00,146.7150,146.6100,146.9100,"231,306"
07-Jun-2022,14:58:00,146.5566,146.4000,146.7900,"272,378"
07-Jun-2022,14:59:00,146.5800,146.4700,146.6800,"177,906"
07-Jun-2022,15:00:00,146.6000,146.4800,146.6700,"157,209"
07-Jun-2022,15:01:00,146.4200,146.3500,146.6400,"269,152"
07-Jun-2022,15:02:00,146.6934,146.4000,146.7100,"244,113"
07-Jun-2022,15:03:00,146.6650,146.5400,146.8000,"205,436"
07-Jun-2022,15:04:00,146.7000,146.6000,146.7800,"161,847"
07-Jun-2022,15:05:00,146.7592,146.6400,146.8300,"148,596"
07-Jun-2022,15:06:00,146.8700,146.7300,147.0000,"268,948"
07-Jun-2022,15:07:00,146.4500,146.4300,146.9000,"214,105"
07-Jun-2022,15:08:00,146.4700,146.3100,146.5400,"239,298"
